Q2_centre	    Q2_low_edge	    Q2_high_edge	x_centre	    x_low_edge	    x_high_edge
8.500000e+00	7.433034e+00	9.219544e+00	5.000000e-03	4.000000e-03	6.324555e-03
8.500000e+00	7.433034e+00	9.219544e+00	8.000000e-03	6.324555e-03	1.019804e-02
8.500000e+00	7.433034e+00	9.219544e+00	1.300000e-02	1.019804e-02	1.612452e-02
8.500000e+00	7.433034e+00	9.219544e+00	2.000000e-02	1.612452e-02	2.529822e-02
8.500000e+00	7.433034e+00	9.219544e+00	3.200000e-02	2.529822e-02	4.000000e-02
8.500000e+00	7.433034e+00	9.219544e+00	5.000000e-02	4.000000e-02	6.324555e-02
8.500000e+00	7.433034e+00	9.219544e+00	8.000000e-02	6.324555e-02	1.019804e-01
8.500000e+00	7.433034e+00	9.219544e+00	1.300000e-01	1.019804e-01	1.529706e-01
8.500000e+00	7.433034e+00	9.219544e+00	2.000000e-01	1.897367e-01	2.236068e-01
8.500000e+00	7.433034e+00	9.219544e+00	3.200000e-01	2.828427e-01	3.577709e-01
8.500000e+00	7.433034e+00	9.219544e+00	5.000000e-01	4.472136e-01	5.700877e-01
1.000000e+01	9.219544e+00	1.095445e+01	5.000000e-03	4.000000e-03	6.324555e-03
1.000000e+01	9.219544e+00	1.095445e+01	8.000000e-03	6.324555e-03	1.019804e-02
1.000000e+01	9.219544e+00	1.095445e+01	1.300000e-02	1.019804e-02	1.612452e-02
1.000000e+01	9.219544e+00	1.095445e+01	2.000000e-02	1.612452e-02	2.529822e-02
1.000000e+01	9.219544e+00	1.095445e+01	3.200000e-02	2.529822e-02	4.000000e-02
1.000000e+01	9.219544e+00	1.095445e+01	5.000000e-02	4.000000e-02	6.324555e-02
1.000000e+01	9.219544e+00	1.095445e+01	8.000000e-02	6.324555e-02	1.019804e-01
1.000000e+01	9.219544e+00	1.095445e+01	1.300000e-01	1.019804e-01	1.529706e-01
1.000000e+01	9.219544e+00	1.095445e+01	2.000000e-01	1.897367e-01	2.236068e-01
1.000000e+01	9.219544e+00	1.095445e+01	3.200000e-01	2.828427e-01	3.577709e-01
1.000000e+01	9.219544e+00	1.095445e+01	5.000000e-01	4.472136e-01	5.700877e-01
1.200000e+01	1.095445e+01	1.341641e+01	5.000000e-03	4.000000e-03	6.324555e-03
1.200000e+01	1.095445e+01	1.341641e+01	8.000000e-03	6.324555e-03	1.019804e-02
1.200000e+01	1.095445e+01	1.341641e+01	1.300000e-02	1.019804e-02	1.612452e-02
1.200000e+01	1.095445e+01	1.341641e+01	2.000000e-02	1.612452e-02	2.529822e-02
1.200000e+01	1.095445e+01	1.341641e+01	3.200000e-02	2.529822e-02	4.000000e-02
1.200000e+01	1.095445e+01	1.341641e+01	5.000000e-02	4.000000e-02	6.324555e-02
1.200000e+01	1.095445e+01	1.341641e+01	8.000000e-02	6.324555e-02	1.019804e-01
1.200000e+01	1.095445e+01	1.341641e+01	1.300000e-01	1.019804e-01	1.529706e-01
1.200000e+01	1.095445e+01	1.341641e+01	2.000000e-01	1.897367e-01	2.236068e-01
1.200000e+01	1.095445e+01	1.341641e+01	3.200000e-01	2.828427e-01	3.577709e-01
1.200000e+01	1.095445e+01	1.341641e+01	5.000000e-01	4.472136e-01	5.700877e-01
1.200000e+01	1.095445e+01	1.341641e+01	8.000000e-01	7.211103e-01	8.875203e-01
1.500000e+01	1.341641e+01	1.643168e+01	8.000000e-03	6.324555e-03	1.019804e-02
1.500000e+01	1.341641e+01	1.643168e+01	1.300000e-02	1.019804e-02	1.612452e-02
1.500000e+01	1.341641e+01	1.643168e+01	2.000000e-02	1.612452e-02	2.529822e-02
1.500000e+01	1.341641e+01	1.643168e+01	3.200000e-02	2.529822e-02	4.000000e-02
1.500000e+01	1.341641e+01	1.643168e+01	5.000000e-02	4.000000e-02	6.324555e-02
1.500000e+01	1.341641e+01	1.643168e+01	8.000000e-02	6.324555e-02	1.019804e-01
1.500000e+01	1.341641e+01	1.643168e+01	1.300000e-01	1.019804e-01	1.529706e-01
1.500000e+01	1.341641e+01	1.643168e+01	2.000000e-01	1.897367e-01	2.236068e-01
1.500000e+01	1.341641e+01	1.643168e+01	3.200000e-01	2.828427e-01	3.577709e-01
